title,offer_details,valid_until,product_url,image_url,scraped_at
Coca-Cola Zero Sugar Coke Soft drink 15 x 330 ml,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/zero-sugar-coke-soft-drink-15-x-330-ml/05245197.html,https://cdn.carrefour.eu/420_05245197_T596.webp,2026-02-01 20:22:24
Coca-Cola Coke Soft drink 15 x 330 ml,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/coke-soft-drink-15-x-330-ml/04897111.html,https://cdn.carrefour.eu/420_04897111_M1_20250115.webp,2026-02-01 20:22:25
"Coca-Cola Zero Sprankelend 1,5L 8x",-33.34% voor 18,2026-02-09,https://www.carrefour.be/nl/zero-sprankelend-15l-8x/06953788.html,https://cdn.carrefour.eu/420_06953788_M1_20240618.webp,2026-02-01 20:22:27
"Coca-Cola Pet 1,5L 8x",-33.34% voor 18,2026-02-09,https://www.carrefour.be/nl/pet-15l-8x/06953746.html,https://cdn.carrefour.eu/420_06953746_M1_20240618.webp,2026-02-01 20:22:30
Jupiler Blond Bier Pils 5.2% Alc 24 x 25 cl bak,-20.0% voor 2,2026-02-09,https://www.carrefour.be/nl/blond-bier-pils-5.2-alc-24-x-25-cl-bak/00165431.html,https://cdn.carrefour.eu/420_00165431_M1_20240610.webp,2026-02-01 20:22:32
"Pampers Premium Protection Maat 5, 80 Luiers",-50.0% voor 2,2026-02-09,https://www.carrefour.be/nl/premium-protection-maat-5-80-luiers/07178345.html,https://cdn.carrefour.eu/420_07178345_T596.webp,2026-02-01 20:22:34
"Pampers Premium Protection Maat 6, 70 Luiers",-50.0% voor 2,2026-02-09,https://www.carrefour.be/nl/premium-protection-maat-6-70-luiers/07178458.html,https://cdn.carrefour.eu/420_07178458_T596.webp,2026-02-01 20:22:36
"Pampers Premium Protection Maat 4, 90 Luiers",-50.0% voor 2,2026-02-09,https://www.carrefour.be/nl/premium-protection-maat-4-90-luiers/07178343.html,https://cdn.carrefour.eu/420_07178343_T596.webp,2026-02-01 20:22:38
"Pampers Premium Protection Maat 3, 112 Luiers",-50.0% voor 2,2026-02-09,https://www.carrefour.be/nl/premium-protection-maat-3-112-luiers/07178342.html,https://cdn.carrefour.eu/420_07178342_T596.webp,2026-02-01 20:22:41
Cava La pasión Brut Wit 75cl,1 + 1 gratis,2026-02-09,https://www.carrefour.be/nl/la-pasi%C3%B3n-brut-wit-75cl/06284471.html,https://cdn.carrefour.eu/420_06284471.webp,2026-02-01 20:22:43
Teisseire Grenadine Siroop 60cl,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/grenadine-siroop-60cl/06413237.html,https://cdn.carrefour.eu/420_06413237_T597.webp,2026-02-01 20:22:45
Piedboeuf Tafelbier Bruin Fles 75 cl,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/tafelbier-bruin-fles-75-cl/00166162.html,https://cdn.carrefour.eu/420_00166162_T1.webp,2026-02-01 20:22:47
